id,word,syllable_word,phonetic,synonym
1,Bizarre,Bi·zarre,bɪ·ˈzɑːr,奇异
2,Flabbergasted,Flab·ber·gast·ed,ˈflæb·ər·ɡæst·ɪd,震惊
3,Gobbledegook,Gob·ble·de·gook,ˈɡɒb·əl·dɪ·ɡuːk,难懂语
4,Hodgepodge,Hodge·podge,ˈhɒdʒ·pɒdʒ,大杂烩
5,Kerfuffle,Ker·fuf·fle,kər·ˈfʌf·əl,小争执
6,Lollygag,Lol·ly·gag,ˈlɒl·ɪ·ɡæɡ,游手好闲
7,Mumbo Jumbo,Mum·bo Jum·bo,ˈmʌm·bəʊ ˈdʒʌm·bəʊ,胡言乱语
8,Nincompoop,Nin·com·poop,ˈnɪŋ·kəm·puːp,傻瓜
9,Poppycock,Pop·py·cock,ˈpɒp·ɪ·kɒk,废话
10,Rigmarole,Rig·ma·role,ˈrɪɡ·mə·rəʊl,冗长复杂
11,Skedaddle,Ske·dad·dle,skɪ·ˈdæd·əl,快跑
12,Whippersnapper,Whip·per·snap·per,ˈwɪp·ə·ˌsnæp·ər,自负青年
13,Balderdash,Bal·der·dash,ˈbɔːl·də·dæʃ,胡扯
14,Flummox,Flum·mox,ˈflʌm·əks,困惑
15,Gibberish,Gib·ber·ish,ˈdʒɪb·ər·ɪʃ,乱语
16,Hullabaloo,Hul·la·ba·loo,ˌhʌl·ə·bə·ˈluː,喧闹
17,Knickknack,Knick·knack,ˈnɪk·ˌnæk,小玩意
18,Malarkey,Mal·ar·key,ˈmæl·ər·ki,扯淡
19,Piffle,Pif·fle,ˈpɪf·əl,无聊
20,Quibble,Quib·ble,ˈkwɪ·bəl,吹毛求疵
21,Shenanigans,She·nan·i·gans,ʃɪ·ˈnæn·ɪ·ɡənz,恶作剧
22,Tomfoolery,Tom·fool·ery,ˈtɒm·fuːl·əri,愚蠢行为
23,Willy-nilly,Wil·ly-nil·ly,ˈwɪ·lɪˈnɪ·lɪ,随意
24,Bamboozle,Bam·boo·zle,bæm·ˈbuː·zəl,忽悠
