id,word,syllable_word,phonetic,synonym
1,Chilly,Chil·ly,ˈtʃɪl·i,"寒风凛凛，冬日将至"
2,Frosty,Frost·y,ˈfrɒs·ti,"霜冻覆盖，白雪皑皑"
3,Snowflake,Snow·flake,ˈsnoʊˌfleɪk,"雪花飘落，银装素裹"
4,Icicle,I·ci·cle,ˈaɪ·sɪ·kl,"冰柱挂梢，晶莹剔透"
5,Glacial,Gla·cial,ˈɡleɪ·ʃəl,"冰河时代，万物静寂"
6,Wintry,Win·try,ˈwɪn·tri,"严冬时节，白雪纷飞"
7,Bitterly Cold,Bit·ter·ly Cold,ˈbɪt·ər·li kəʊld,"寒风刺骨，凛冽冬日"
8,Freezing,Freez·ing,ˈfriː·zɪŋ,"冻雨凝空，彻骨严寒"
9,Blizzard,Bliz·zard,ˈblɪz·ərd,"暴风雪来袭，天地茫茫"
10,Frigid,Frig·id,ˈfrɪd·ʒɪd,"冰封万里，严寒难耐"
11,Snowstorm,Snow·storm,ˈsnoʊˌstɔːrm,"雪暴肆虐，银世界降临"
12,Hailstone,Hail·stone,ˈheɪl·stoʊn,"冰雹轰击，夜空响起"
13,Gusty,Gus·ty,ˈɡʌs·ti,"狂风大作，呼啸穿梭"
14,Nippy,Nip·py,ˈnɪp·i,"凉风习习，清寒如洗"
15,Sleet,Sleet,slit,"雨夹雪飘，冰雨交加"
16,Slushy,Slush·y,ˈslʌʃ·i,"融雪泥泞，湿滑难行"
17,Chill,Chill,tʃɪl,"寒气袭人，冬意浓浓"
18,Gloomy,Gloom·y,ˈɡluː·mi,"天色阴沉，暗影笼罩"
19,Hibernate,Hi·ber·nate,ˈhaɪ·bərˌneɪt,"冬眠时节，寻找温暖"
20,Icy,I·cy,ˈaɪ·si,"冰冻世界，滑冰乐趣"
21,Snowy,Snow·y,ˈsnoʊ·i,"白雪皑皑，童话世界"
22,Wintery,Win·ter·y,ˈwɪn·tə·ri,"冬季景象，银装素裹"
23,Cold Snap,Cold Snap,kəʊld snæp,"寒流来袭，温度骤降"
24,Frostbite,Frost·bite,ˈfrɒstˌbaɪt,"冻伤来临，寒风肆虐"
