id,word,syllable_word,phonetic,synonym
1,X-ray,X-ray,ˈɛks ·reɪ,X光
2,Virus,Vi·rus,ˈvaɪ·rəs,病毒
3,Vaccine,Vac·ci·ne,ˈvæk·si·ːn,疫苗
4,Surgery,Sur·ge·ry,ˈsɜː·dʒə·ri,手术
5,Stress,Stress,strɛs,压力
6,Scalpel,Scal·pel,ˈskæl·pəl,手术刀
7,Prescription,Pre·scrip·tion,pri·ˈskrɪp·ʃən,处方
8,Patient,Pa·tient,ˈpeɪ·ʃənt,患者
9,Oxygen,Ox·y·gen,ˈɒks·ɪ·dʒən,氧气
10,Nurse,Nur·se,nɜː·rs,护士
11,MRI,M·R·I,ˌɛm ·ɑr ·ˈaɪ,核磁共振
12,Mask,Mask,mɑːsk,口罩
13,Lab,Lab,læb,实验室
14,Injection,In·jec·tion,ɪn·ˈdʒɛk·ʃən,注射
15,Heartbeat,Heart·beat,ˈhɑːrt·biːt,心跳
16,Health,Health,hɛlθ,健康
17,Gloves,Gloves,ɡlʌvz,手套
18,Fever,Fe·ver,ˈfiː·vər,发烧
19,Emergency,E·mer·gen·cy,ɪ·ˈmɜːr·dʒən·si,紧急
20,Diabetes,Di·a·be·tes,ˌdaɪ·ə·ˈbiː·tiːz,糖尿病
21,CT scan,C·T scan,ˌsiː ·ˈtiː ·skæn,CT扫描
22,Clinic,Cli·nic,ˈklɪn·ɪk,诊所
23,Bandage,Ban·dage,ˈbæn·dɪdʒ,绷带
24,Antibiotic,An·ti·bi·ot·ic,ˌæn·ti·baɪ·ˈɒt·ɪk,抗生素
