id,word,syllable_word,phonetic,synonym
1,Hello,Hel·lo,həˈləʊ,请恕臣妾失礼
2,Goodbye,Good·bye,ɡʊdˈbaɪ,臣妾这就退下
3,Thank You,Thank You,θæŋk juː,谢主隆恩
4,Please,Please,pliːz,恳请娘娘赐教
5,Sorry,Sor·ry,ˈsɒri,妾身有愧，烦请娘娘恕罪
6,Yes,Yes,jɛs,妾身领旨
7,No,No,nəʊ,不敢苟同
8,Tea Time,Tea Time,tiː taɪm,恭请娘娘品茗
9,Dinner,Din·ner,ˈdɪnər,恭请娘娘赏脸共进晚膳
10,Hungry,Hun·gry,ˈhʌŋɡri,妾身肚子饿了
11,Delicious,De·li·cious,dɪˈlɪʃəs,佳肴美馔，珍馐百味
12,Cheers,Cheers,tʃɪərz,为皇上万寿无疆干杯
13,Rest,Rest,rɛst,请娘娘稍息片刻
14,Hurry,Hur·ry,ˈhʌri,快些办理
15,Watch,Watch,wɒtʃ,洞察一切，细心观察
16,Listen,Lis·ten,ˈlɪsən,洗耳恭听
17,Secret,Se·cret,ˈsiːkrɪt,密谈之事，不可外泄
18,Think,Think,θɪŋk,深思熟虑后再作打算
19,Write,Write,raɪt,妾身这就撰写奏章
20,Study,Stu·dy,ˈstʌdi,勤奋钻研，不负皇上厚望
21,Morning,Morn·ing,ˈmɔːrnɪŋ,早安，娘娘
22,Night,Night,naɪt,晚安，愿娘娘安眠
23,Good Luck,Good Luck,ɡʊd lʌk,祝娘娘好运连连
24,Best Wishes,Best Wishes,bɛst wɪʃɪz,臣妾祝娘娘福寿安康
