id, word, syllable_word, phonetic, synonym
1, Headache, Head·ache, ˈhɛdˌeɪk, "脑袋炸裂，头痛欲裂"
2, Fever, Fe·ver, ˈfiː·vər, "热如火炉，发烧不退"
3, Cough, Cough, kɒf, "咳得肺疼，咳嗽不止"
4, Sneezing, Sneez·ing, ˈsniːz·ɪŋ, "喷嚏连发，春日常客"
5, Sore Throat, Sore Throat, sɔːr θroʊt, "喉咙刺痛，吞咽困难"
6, Runny Nose, Run·ny Nose, ˈrʌn·i noʊz, "鼻水长流，流感先兆"
7, Fatigue, Fa·tigue, fəˈtiːɡ, "疲惫不堪，浑身无力"
8, Nausea, Nau·se·a, ˈnɔː·si·ə, "恶心欲吐，胃口全无"
9, Dizziness, Diz·zi·ness, ˈdɪz·i·nəs, "天旋地转，头晕目眩"
10, Diarrhea, Di·ar·rh·ea, ˌdaɪ·əˈri·ə, "肠胃不适，拉肚子了"
11, Insomnia, In·som·ni·a, ɪnˈsɒm·ni·ə, "辗转难眠，失眠夜长"
12, Flu, Flu, flu, "流感来袭，病毒入侵"
13, Allergy, Al·ler·gy, ˈæl·ər·dʒi, "过敏反应，皮肤瘙痒"
14, Asthma, Asth·ma, ˈæz·mə, "气喘吁吁，哮喘发作"
15, Back Pain, Back Pain, bæk peɪn, "腰酸背痛，坐立不安"
16, Toothache, Tooth·ache, tuːθˌeɪk, "牙疼难忍，牙痛攻心"
17, Indigestion, In·di·ges·tion, ɪnˈdɪ·dʒɛs·tʃən, "胃痛难耐，消化不良"
18, Muscle Pain, Mus·cle Pain, ˈmʌs·kl peɪn, "筋疼肌痛，肌肉酸痛"
19, Anxiety, Anx·i·e·ty, æŋˈzaɪ·ə·ti, "焦虑不安，心神不宁"
20, Hypertension, Hy·per·ten·sion, ˌhaɪ·pərˈtɛn·ʃən, "血压飙升，高血压"
21, Cold, Cold, kəʊld, "风寒袭来，感冒初期"
22, Rash, Rash, ræʃ, "皮肤发疹，红疹遍布"
23, Migraine, Mi·graine, ˈmaɪ·ɡreɪn, "偏头痛发作，痛不欲生"
24, Anemia, A·ne·mi·a, əˈniː·mi·ə, "面色苍白，贫血困扰"
