id,word,syllable_word,phonetic,synonym
1,Stat,Stat,stæt,立即
2,Scalpel,Scal·pel,ˈskæl·pəl,手术刀
3,Placebo,Pla·ce·bo,plə·ˈsiː·bo,安慰剂
4,Hippocratic Oath,Hip·po·crat·ic Oath,ˌhɪp·ə·ˈkræt·ɪk oʊθ,希波克拉底誓言
5,Malpractice,Mal·prac·tice,ˈmæl·ˌpræk·tɪs,医疗失误
6,Caduceus,Ca·du·ce·us,kəˈduː·siː·əs,医学标志
7,Quack,Quack,kwæk,庸医
8,Stethoscope,Steth·o·scope,ˈstɛθ·ə·ˌskoʊp,听诊器
9,Code Blue,Code Blue,koʊd bluː,紧急呼叫
10,Bedside Manner,Bed·side Man·ner,ˈbɛd·ˌsaɪd ˈmæn·ər,床边礼仪
11,Hippocrates,Hip·po·cra·tes,ˌhɪp·ˈɒ·krə·ˌtiːz,希波克拉底
12,Intubate,In·tu·bate,ˈɪn·tjuː·ˌbeɪt,插管
13,Triage,Tri·age,ˈtriː·ˌɑːʒ,分诊
14,Placebo Effect,Pla·ce·bo Ef·fect,plə·ˈsiː·bo ɪˈfɛkt,安慰剂效应
15,Suture,Su·ture,ˈsuː·tʃər,缝合
16,Anesthesia,An·es·the·sia,ˌæn·əs·ˈθiː·zɪə,麻醉
17,Phlebotomy,Phle·bot·o·my,flɪ·ˈbɒt·ə·mi,抽血
18,Epidemic,E·pi·dem·ic,ˌɛp·ɪ·ˈdɛm·ɪk,流行病
19,Vaccinate,Vac·ci·nate,ˈvæk·sɪ·ˌneɪt,接种疫苗
20,Diagnosis,Di·ag·no·sis,ˌdaɪ·əɡ·ˈnoʊ·sɪs,诊断
21,Antibiotic,An·ti·bi·ot·ic,ˌæn·tɪ·baɪ·ˈɒt·ɪk,抗生素
22,Biopsy,Bi·op·sy,ˈbaɪ·ɒp·si,活检
23,Placebology,Pla·ce·bol·o·gy,plə·ˈsiː·bɒl·ə·dʒi,安慰剂学
24,Cyberchondria,Cy·ber·chon·dri·a,ˌsaɪ·bər·ˈkɒn·dri·ə,网络疑病症
