id,word,syllable_word,phonetic,synonym
1,Whatever,What·ev·er,ˈwɒtˌɛv·ər,随便
2,Yeah,Ye·ah,jɑː,嗯哼
3,Maybe,May·be,ˈmeɪ·bi,或许吧
4,Fine,Fine,faɪn,好吧
5,OK,OK,oʊˈkeɪ,行
6,Cool,Cool,kuːl,酷
7,Alright,Al·right,ɔːlˈraɪt,好的
8,Got it,Got it,ɡɒt ɪt,知道了
9,See,See,siː,看吧
10,As you wish,As you wish,æz juː wɪʃ,如您所愿
11,Guess so,Guess so,ɡɛs soʊ,我猜是吧
12,If you say so,If you say so,ɪf juː seɪ soʊ,如果你这么认为
13,Hmm,Hmm,hm,嗯
14,Not sure,Not sure,nɒt ʃʊə,不确定
15,Let's see,Let's see,lɛts siː,我们看看
16,Sounds good,Sounds good,saʊndz ɡʊd,听起来不错
17,Up to you,Up to you,ʌp tuː juː,随你
18,Can't say,Can't say,kænt seɪ,说不准
19,Don't know,Don't know,doʊnt noʊ,不知道
20,Maybe later,May·be lat·er,ˈmeɪ·bi ˈleɪ·tər,也许以后吧
21,Sort of,Sort of,sɔːt ɒv,有点儿
22,We'll see,We'll see,wiːl siː,再说吧
23,If you insist,If you in·sist,ɪf juː ɪnˈsɪst,您坚持的话
24,Floccinaucinihilipilification,Floc·ci·nau·ci·ni·hil·i·pil·i·fi·ca·tion,ˌflɒk·sɪˌnɔː·sɪˌnɪ·hɪˌlɪ·pɪˌlɪ·fɪˌkeɪ·ʃən,轻蔑
