id,word,syllable_word,phonetic,synonym
1,Hello,he·llo,hə·ˈləʊ,妾身见过娘娘。
2,Goodbye,good·bye,ɡʊd·ˈbaɪ,妾身这就告退。
3,Thank You,thank ·you,θæŋk ·ˈjuː,感谢娘娘赏赐。
4,Please,plea·se,pliː·z,还请娘娘指教。
5,Sorry,sor·ry,ˈsɒ·ri,妾身知错，愿受罚处。
6,Yes,yes,jɛs,妾身遵命。
7,No,no,nəʊ,娘娘饶恕，妾身不能从命。
8,Friend,friend,frɛnd,在宫中能有一位知己，实为难得。
9,Love,love,lʌv,妾身心中，只有陛下。
10,Beautiful,beau·ti·ful,ˈbjuː·tɪ·fʊl,娘娘容貌倾国倾城。
11,Happy,hap·py,ˈhæ·pi,得娘娘青睐，妾身喜不自胜。
12,Sad,sad,sæd,娘娘，妾身心如刀绞。
13,Hungry,hun·gry,ˈhʌŋ·gri,妾身未曾进膳。
14,Eat,eat,iːt,请娘娘赐膳。
15,Sleep,sleep,sliːp,妾身这就退下休息。
16,Run,run,rʌn,妾身赶紧去办。
17,Look,look,lʊk,妾身定要查个水落石出。
18,Listen,lis·ten,ˈlɪs·ən,妾身静听娘娘吩咐。
19,Speak,speak,spiːk,娘娘，妾身有话上奏。
20,Think,think,θɪŋk,妾身需仔细思量。
21,Write,write,raɪt,妾身这就奉命起草奏折。
22,Read,read,riːd,妾身正研读典籍。
23,Good Morning,good ·morn·ing,ɡʊd ˈmɔː·rnɪŋ,娘娘吉祥，早安。
24,Good Night,good ·night,ɡʊd ·naɪt,祝娘娘安宁，好梦。
