id,word,syllable_word,phonetic,synonym
1,Hello,he·llo,hə·ˈləʊ,幸会幸会
2,Goodbye,good·bye,ɡʊd·ˈbaɪ,一别两宽
3,Thank You,thank ·you,θæŋk ·ˈjuː,再造之恩，铭感五内
4,Please,plea·se,pliː·z,烦请前辈赐教
5,Sorry,sor·ry,ˈsɒ·ri,多有得罪，实属抱歉
6,Yes,yes,jɛs,正合吾意
7,No,no,nəʊ,恕难从命
8,Friend,friend,frɛnd,得遇高贤，大慰平生
9,Love,love,lʌv,承蒙佳人青睐，此生无憾
10,Beautiful,beau·ti·ful,ˈbjuː·tɪ·fʊl,见到姑娘，真乃倾国倾城
11,Happy,hap·py,ˈhæ·pi,闻此喜讯，心潮澎湃
12,Sad,sad,sæd,闻此恶耗，神伤心痛
13,Hungry,hun·gry,ˈhʌŋ·gri,江湖漂泊，饥肠辘辘
14,Eat,eat,iːt,酒烈肉香，大快朵颐
15,Sleep,sleep,sliːp,日头已晚，歇息一夜
16,Run,run,rʌn,走！
17,Look,look,lʊk,看！
18,Listen,lis·ten,ˈlɪs·ən,听！
19,Speak,speak,spiːk,有话直言
20,Think,think,θɪŋk,此事容我深思熟虑
21,Write,write,raɪt,写下江湖漂泊
22,Read,read,riːd,研读武林绝学
23,Good Morning,good ·morn·ing,ɡʊd ˈmɔː·rnɪŋ,新日破晓，朝霞初现
24,Good Night,good ·night,ɡʊd ·naɪt,夜深了，月照江湖
