id,word,syllable_word,phonetic,synonym
1,Dignity,Dig·ni·ty,ˈdɪɡ·nɪ·ti,容不容得下嫔妾，是娘娘的气度
2,Skill,Skill,skɪl,能不能让娘娘容得下，是嫔妾的本事
3,Unjust,Un·just,ʌnˈdʒʌst,雨露不能均沾，便是帝王最大的错处
4,Graceful,Grace·ful,ˈɡreɪs·fəl,嬛嬛一袅楚宫腰
5,Jesting,Jest·ing,ˈdʒɛs·tɪŋ,姐姐说笑了
6,Niohuru,Ni·o·hu·ru,niːˈoʊ·hʊˈruː,臣妾是，钮祜禄氏·甄嬛
7,Wanwan,Wan·wan,ˈwɑnˈwɑn,菀菀类卿
8,Useless,Use·less,ˈjuːs·ləs,不中用的东西
9,Pretentious,Pre·ten·tious,prɪˈtɛn·ʃəs,贱人就是矫情
10,Defiant,De·fi·ant,dɪˈfaɪ·ənt,不容本宫放肆，本宫也放肆多回了
11,Unworthy,Un·wor·thy,ʌnˈwɜːr·ði,原是我自己不配
12,Bitterness,Bit·ter·ness,ˈbɪt·ər·nəs,在宫中待久了，苦杏仁吃着也是甜的
13,Fortune,For·tune,ˈfɔːr·tʃuːn,这福气给你，要不要啊
14,Ice Heart,Ice Heart,aɪs hɑːrt,一片冰心在玉壶
15,Boring,Bor·ing,ˈbɔːr·ɪŋ,臣妾是，钮祜禄氏·真烦
16,Mistaken,Mi·stak·en,mɪˈsteɪk·ən,终究是错付了
17,Goodbye,Good·bye,ɡʊdˈbaɪ,臣妾这就退下
18,Thank You,Thank You,θæŋk juː,谢主隆恩
19,Please,Please,pliːz,恳请娘娘赐教
20,Sorry,Sor·ry,ˈsɒ·ri,妾身有愧，烦请娘娘恕罪
21,Yes,Yes,jɛs,妾身领旨
22,No,No,nəʊ,不敢苟同
23,Tea Time,Tea Time,tiː taɪm,恭请娘娘品茗
24,Dinner,Din·ner,ˈdɪn·ər,恭请娘娘赏脸，共进晚膳
